2024-09-19 11:26:29 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2530, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:30 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2530, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:31 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2572, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2551, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:32 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2527, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2539, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:33 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2535, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:34 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2533, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:35 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2532, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:36 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2531, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:37 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2572, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2551, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:38 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2572, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2561, 'name': 'POM_5V_IN'}}
