timestamp,cpu_volt,cpu_curr,cpu_power,cpu_avg_power,gpu_volt,gpu_curr,gpu_power,gpu_avg_power,total_volt,total_curr,total_power,total_avg_power
2024-09-22 13:12:28,5136,192,986,1105,5136,0,0,0,5136,496,2547,2661
2024-09-22 13:12:29,5136,184,986,1045,5136,0,0,0,5136,504,2588,2624
2024-09-22 13:12:30,5136,192,1027,1036,5136,0,0,0,5136,496,2588,2606
2024-09-22 13:12:31,5136,184,945,990,5136,0,0,0,5136,488,2506,2556
2024-09-22 13:12:32,5136,192,984,987,5136,0,0,0,5136,504,2588,2572
2024-09-22 13:12:33,5128,200,1025,1006,5128,0,0,0,5128,520,2666,2619
2024-09-22 13:12:34,5128,216,1107,1056,5128,0,0,0,5128,512,2625,2622
2024-09-22 13:12:35,5168,72,372,714,5168,0,0,0,5168,360,1860,2241
2024-09-22 13:12:36,5176,24,124,419,5176,0,0,0,5176,328,1695,1968
2024-09-22 13:12:37,5176,24,165,292,5176,0,0,0,5176,328,1697,1832
2024-09-22 13:12:38,5176,32,165,228,5168,0,0,0,5168,328,1695,1763
2024-09-22 13:12:39,5176,24,124,176,5176,0,0,0,5176,328,1697,1730
2024-09-22 13:12:40,5176,24,124,150,5176,0,0,0,5176,328,1697,1713
2024-09-22 13:12:41,5176,32,165,157,5176,0,0,0,5176,336,1739,1726
2024-09-22 13:12:42,5176,40,207,182,5176,0,0,0,5176,336,1739,1732
2024-09-22 13:12:43,5176,32,165,173,5168,0,0,0,5168,336,1777,1754
2024-09-22 13:12:44,5176,32,165,169,5176,0,0,0,5176,336,1739,1746
2024-09-22 13:12:45,5176,32,165,167,5176,0,0,0,5176,328,1739,1742
2024-09-22 13:12:46,5176,32,165,166,5176,0,0,0,5176,328,1697,1719
2024-09-22 13:12:47,5176,32,165,165,5176,0,0,0,5176,344,1777,1748
2024-09-22 13:12:48,5176,32,165,165,5168,0,0,0,5168,352,1857,1802
2024-09-22 13:12:49,5176,32,207,186,5176,0,0,0,5168,352,1819,1810
2024-09-22 13:12:50,5168,56,330,258,5168,0,0,0,5168,360,1860,1835
2024-09-22 13:12:51,5176,40,248,253,5168,0,0,0,5168,360,1860,1847
2024-09-22 13:12:52,5176,32,165,209,5176,0,0,0,5168,352,1860,1853
2024-09-22 13:12:53,5176,32,165,187,5168,0,0,0,5168,352,1857,1855
2024-09-22 13:12:54,5176,24,124,155,5176,0,0,0,5176,328,1697,1776
2024-09-22 13:12:55,5176,24,124,139,5176,0,0,0,5176,328,1697,1736
2024-09-22 13:12:56,5008,584,2924,1531,5008,0,0,0,5016,920,4614,3175
2024-09-22 13:12:57,5128,160,901,1216,5120,0,0,0,5112,552,2853,3014
2024-09-22 13:12:58,5152,112,577,896,5152,0,0,0,5152,408,2143,2578
2024-09-22 13:12:59,5088,376,1872,1384,5088,0,0,0,5096,616,3144,2861
2024-09-22 13:13:00,5000,592,2960,2172,5008,8,40,20,5008,936,4694,3777
2024-09-22 13:13:01,5008,584,2924,2548,5016,0,0,10,5016,912,4574,4175
2024-09-22 13:13:02,5016,592,2969,2758,5024,0,0,5,5024,888,4468,4321
2024-09-22 13:13:03,5016,576,2893,2825,5024,0,0,2,5032,888,4468,4394
2024-09-22 13:13:04,5040,488,2455,2640,5040,0,0,1,5040,832,4193,4293
2024-09-22 13:13:05,5104,296,1510,2075,5112,0,0,0,5112,560,2862,3577
2024-09-22 13:13:06,5096,328,1671,1873,5104,0,0,0,5112,576,2944,3260
2024-09-22 13:13:07,5032,560,2813,2343,5032,0,0,0,5032,864,4387,3823
2024-09-22 13:13:08,5000,600,3000,2671,5008,0,0,0,5016,936,4654,4238
2024-09-22 13:13:09,5016,576,2924,2797,5016,0,0,0,5016,904,4534,4386
2024-09-22 13:13:10,5016,592,2969,2883,5016,0,0,0,5024,904,4541,4463
2024-09-22 13:13:11,5096,344,1712,2297,5096,0,0,0,5104,592,3021,3742
2024-09-22 13:13:12,5024,568,2853,2575,5024,0,0,0,5024,872,4380,4061
2024-09-22 13:13:13,5040,496,2536,2555,5040,0,0,0,5040,840,4233,4147
2024-09-22 13:13:14,5048,464,2378,2466,5040,0,0,0,5040,824,4193,4170
2024-09-22 13:13:15,5008,608,3044,2755,5016,0,0,0,5016,928,4654,4412
